Experiment,Kamera,NVS_lD,SceneID,weight,Basisszenario,FS-Art,besondere Merkmale,FS-Breite,Parken,Verkehrsaufkommen,raus
SE,C,1,01_SE_C_1,6,1,KFZ,-,breit,nein,normal,
SE,C,2,01_SE_C_2,6,1,KFZ,Fahrradstraße,breit,nein,normal,
SE,C,3,01_SE_C_3,6,1,KFZ,Spielstraße,breit,nein,normal,
SE,C,4,01_SE_C_4,6,1,KFZ,Fahrradstraße-Sondermarkierung,breit,nein,normal,
SE,C,6,01_SE_C_6,6,1,KFZ,-,breit,nein,autofrei,
SE,C,7,01_SE_C_7,6,1,KFZ,Fahrradstraße,breit,nein,autofrei,
SE,C,8,01_SE_C_8,6,1,KFZ,Spielstraße,breit,nein,autofrei,
SE,C,9,01_SE_C_9,6,1,KFZ,Fahrradstraße-Sondermarkierung,breit,nein,autofrei,
SE,C,10,01_SE_C_10,6,1,KFZ,Fahrradstraße-Hollandaise,breit,nein,autofrei,
SE,C,11,01_SE_C_11,6,1,Einbahnstraße,-,breit,nein,normal,
SE,C,12,01_SE_C_12,6,1,Einbahnstraße,Fahrradstraße,breit,nein,normal,
SE,C,13,01_SE_C_13,6,1,Einbahnstraße,Spielstraße,breit,nein,normal,
SE,C,14,01_SE_C_14,6,1,Einbahnstraße,Fahrradstraße-Sondermarkierung,breit,nein,normal,
SE,C,16,01_SE_C_16,6,1,Einbahnstraße-Gegenverkehr,-,breit,nein,normal,
SE,C,17,01_SE_C_17,6,1,Einbahnstraße-Gegenverkehr,Fahrradstraße,breit,nein,normal,
SE,C,18,01_SE_C_18,6,1,Einbahnstraße-Gegenverkehr,Spielstraße,breit,nein,normal,
SE,C,19,01_SE_C_19,6,1,Einbahnstraße-Gegenverkehr,Fahrradstraße-Sondermarkierung,breit,nein,normal,
SE,C,21,01_SE_C_21,6,2,KFZ,-,breit,Parken-einseitig,normal,
SE,C,22,01_SE_C_22,6,2,KFZ,Fahrradstraße,breit,Parken-einseitig,normal,
